YEAR,BENE_GEO_DESC,Avg_Payment_Per_Capita
2014,AK-Anchorage,8500.15
2014,AK-Kenai Peninsula,8378.44
2014,AK-Matanuska-Susitna,8343.44
2014,AL,8633.223333333333
2014,AL-Autauga,7910.83
2014,AL-Baldwin,7817.78
2014,AL-Barbour,8894.73
2014,AL-Blount,8275.46
2014,AL-Calhoun,9043.17
2014,AL-Cherokee,8951.37
2014,AL-Cleburne,9036.36
2014,AL-Coffee,7832.86
2014,AL-Colbert,8683.28
2014,AL-Covington,8755.64
2014,AL-Cullman,8548.89
2014,AL-Dale,8346.37
2014,AL-DeKalb,7927.74
2014,AL-Elmore,8129.33
2014,AL-Escambia,9770.51
2014,AL-Etowah,9717.37
2014,AL-Fayette,8667.63
2014,AL-Geneva,8023.34
2014,AL-Henry,8392.73
2014,AL-Houston,8347.57
2014,AL-Jackson,8872.38
2014,AL-Jefferson,9005.97
2014,AL-Lauderdale,7908.12
2014,AL-Lee,7402.85
2014,AL-Madison,8982.65
2014,AL-Marshall,8707.34
2014,AL-Mobile,8855.37
2014,AL-Montgomery,8535.68
2014,AL-Morgan,8441.03
2014,AL-Pike,8811.51
2014,AL-Randolph,8546.82
2014,AL-Russell,9022.3
2014,AL-Shelby,8394.19
2014,AL-St. Clair,8851.64
2014,AL-Talladega,8854.79
2014,AL-Tallapoosa,8527.53
2014,AL-Tuscaloosa,9253.66
2014,AL-Walker,9016.51
2014,AR,8206.013333333334
2014,AR-Ashley,9223.34
2014,AR-Benton,8356.38
2014,AR-Columbia,8609.53
2014,AR-Craighead,8279.81
2014,AR-Crawford,8269.0
2014,AR-Crittenden,9072.11
2014,AR-Desha,10590.47
2014,AR-Faulkner,7967.61
2014,AR-Garland,8354.54
2014,AR-Hempstead,8677.45
2014,AR-Hot Spring,8389.36
2014,AR-Howard,8756.1
2014,AR-Jefferson,8190.86
2014,AR-Little River,10422.73
2014,AR-Logan,8457.35
2014,AR-Lonoke,8347.35
2014,AR-Miller,8941.76
2014,AR-Mississippi,8693.23
2014,AR-Ouachita,7974.01
2014,AR-Pope,7784.08
2014,AR-Pulaski,8528.57
2014,AR-Saline,8432.63
2014,AR-Sebastian,8438.81
2014,AR-Sevier,9199.82
2014,AR-Union,7871.89
2014,AR-Washington,7864.1
2014,AR-White,8414.36
2014,AR-Yell,9215.59
2014,AZ,9392.6
2014,AZ-Apache,9754.42
2014,AZ-Cochise,8062.66
2014,AZ-Coconino,9107.87
2014,AZ-Gila,9131.63
2014,AZ-La Paz,9421.76
2014,AZ-Maricopa,9297.44
2014,AZ-Mohave,8615.32
2014,AZ-Navajo,9185.93
2014,AZ-Pima,8091.45
2014,AZ-Pinal,9154.45
2014,AZ-Yavapai,7865.75
2014,AZ-Yuma,9381.84
2014,CA,11288.953333333333
2014,CA-Alameda,11186.32
2014,CA-Butte,9476.45
2014,CA-Contra Costa,10684.95
2014,CA-El Dorado,9186.19
2014,CA-Fresno,10282.94
2014,CA-Humboldt,7771.66
2014,CA-Imperial,10277.82
2014,CA-Kern,11013.27
2014,CA-Lake,10157.97
2014,CA-Lassen,8483.97
2014,CA-Los Angeles,13783.91
2014,CA-Marin,9693.2
2014,CA-Mendocino,8186.44
2014,CA-Merced,10050.91
2014,CA-Monterey,9338.69
2014,CA-Orange,11226.91
2014,CA-Placer,9036.13
2014,CA-Plumas,8271.82
2014,CA-Riverside,10774.16
2014,CA-Sacramento,10059.72
2014,CA-San Bernardino,11469.3
2014,CA-San Diego,10268.48
2014,CA-San Francisco,10408.85
2014,CA-San Joaquin,9986.87
2014,CA-San Luis Obispo,7950.01
2014,CA-San Mateo,9541.14
2014,CA-Santa Barbara,8613.19
2014,CA-Santa Clara,10271.41
2014,CA-Santa Cruz,8975.59
2014,CA-Shasta,9160.7
2014,CA-Siskiyou,7729.09
2014,CA-Solano,9388.92
2014,CA-Sonoma,9494.46
2014,CA-Stanislaus,10219.76
2014,CA-Sutter,9099.11
2014,CA-Tehama,8171.8
2014,CA-Ventura,10465.81
2014,CO,8587.636666666667
2014,CO-Adams,9782.94
2014,CO-Arapahoe,9469.97
2014,CO-Boulder,7907.51
2014,CO-Denver,9447.83
2014,CO-Douglas,8822.81
2014,CO-El Paso,7854.24
2014,CO-Fremont,7504.59
2014,CO-Jefferson,8751.97
2014,CO-Larimer,7591.65
2014,CO-Otero,7932.77
2014,CO-Pueblo,8323.88
2014,CO-Weld,8616.92
2014,CT,11610.0
2014,CT-Fairfield,11478.97
2014,CT-Hartford,11022.9
2014,CT-Litchfield,10167.07
2014,CT-Middlesex,10614.17
2014,CT-New Haven,12304.57
2014,CT-New London,10762.17
2014,CT-Tolland,10271.47
2014,CT-Windham,10742.35
2014,DC,12570.936666666666
2014,DC-District of Columbia,11608.96
2014,DE,10611.613333333333
2014,DE-Kent,10249.98
2014,DE-New Castle,10233.91
2014,DE-Sussex,9805.4
2014,FL,11386.363333333333
2014,FL-Alachua,10532.55
2014,FL-Bay,10289.59
2014,FL-Bradford,10486.65
2014,FL-Brevard,9969.45
2014,FL-Broward,13256.62
2014,FL-Calhoun,9996.0
2014,FL-Charlotte,9894.94
2014,FL-Citrus,9600.76
2014,FL-Clay,10621.81
2014,FL-Collier,9376.27
2014,FL-Columbia,10846.72
2014,FL-Duval,11810.55
2014,FL-Escambia,9408.01
2014,FL-Flagler,9110.27
2014,FL-Gadsden,9436.24
2014,FL-Gulf,9824.36
2014,FL-Hardee,11131.42
2014,FL-Hendry,11103.55
2014,FL-Hernando,10661.13
2014,FL-Highlands,10979.02
2014,FL-Hillsborough,11523.04
2014,FL-Holmes,9308.46
2014,FL-Indian River,9496.52
2014,FL-Jackson,9013.8
2014,FL-Lake,10148.07
2014,FL-Lee,9726.09
2014,FL-Leon,9264.9
2014,FL-Levy,10074.78
2014,FL-Manatee,9949.37
2014,FL-Marion,9969.72
2014,FL-Martin,10044.27
2014,FL-Miami-Dade,16322.37
2014,FL-Nassau,9557.0
2014,FL-Okaloosa,9123.84
2014,FL-Orange,11392.48
2014,FL-Osceola,10916.34
2014,FL-Palm Beach,12237.42
2014,FL-Pasco,10675.13
2014,FL-Pinellas,11654.34
2014,FL-Polk,10395.4
2014,FL-Putnam,10773.69
2014,FL-Santa Rosa,9064.6
2014,FL-Sarasota,9361.07
2014,FL-Seminole,11031.73
2014,FL-St. Johns,9656.6
2014,FL-St. Lucie,10791.98
2014,FL-Sumter,8948.71
2014,FL-Suwannee,9635.16
2014,FL-Taylor,8942.66
2014,FL-Volusia,9742.37
2014,FL-Wakulla,9522.99
2014,FL-Walton,8739.09
2014,FL-Washington,8961.78
2014,GA,9594.796666666667
2014,GA-Appling,8904.24
2014,GA-Baldwin,9573.56
2014,GA-Barrow,9291.82
2014,GA-Bartow,9868.12
2014,GA-Bibb,10674.67
2014,GA-Bulloch,9819.86
2014,GA-Burke,9183.33
2014,GA-Camden,9218.03
2014,GA-Carroll,8882.82
2014,GA-Catoosa,9225.57
2014,GA-Chatham,9348.64
2014,GA-Cherokee,8834.28
2014,GA-Clarke,8639.05
2014,GA-Clayton,10270.43
2014,GA-Cobb,9131.89
2014,GA-Coffee,10253.75
2014,GA-Colquitt,10327.47
2014,GA-Columbia,8127.75
2014,GA-Coweta,8513.88
2014,GA-DeKalb,9613.54
2014,GA-Dougherty,9180.83
2014,GA-Douglas,9758.36
2014,GA-Effingham,8511.17
2014,GA-Elbert,7763.12
2014,GA-Fayette,8134.84
2014,GA-Floyd,9605.44
2014,GA-Forsyth,9147.79
2014,GA-Franklin,8743.8
2014,GA-Fulton,10123.43
2014,GA-Glynn,8843.24
2014,GA-Gordon,8876.24
2014,GA-Greene,8270.99
2014,GA-Gwinnett,8990.91
2014,GA-Habersham,8121.32
2014,GA-Hall,8797.45
2014,GA-Haralson,8882.37
2014,GA-Hart,8769.52
2014,GA-Henry,8541.02
2014,GA-Houston,9770.91
2014,GA-Jackson,8607.36
2014,GA-Jefferson,9525.66
2014,GA-Jones,8910.18
2014,GA-Laurens,9234.84
2014,GA-Lee,8048.62
2014,GA-Lowndes,8739.2
2014,GA-Monroe,9708.47
2014,GA-Muscogee,9458.14
2014,GA-Newton,9381.33
2014,GA-Paulding,9281.67
2014,GA-Polk,9758.92
2014,GA-Richmond,8815.86
2014,GA-Rockdale,9678.86
2014,GA-Stephens,9096.92
2014,GA-Thomas,8883.59
2014,GA-Troup,9005.05
2014,GA-Upson,8347.55
2014,GA-Walker,9118.2
2014,GA-Walton,9562.7
2014,GA-Ware,9177.28
2014,GA-Wayne,10580.01
2014,GA-Whitfield,8083.12
2014,HI,6799.93
2014,IA,8240.146666666667
2014,IA-Black Hawk,8773.2
2014,IA-Clinton,8813.88
2014,IA-Jasper,6526.18
2014,IA-Linn,7827.36
2014,IA-Muscatine,8363.29
2014,IA-Polk,7446.39
2014,IA-Pottawattamie,8141.92
2014,IA-Scott,8768.14
2014,IA-Woodbury,8361.01
2014,ID,8013.176666666666
2014,ID-Ada,7754.37
2014,ID-Bannock,8960.66
2014,ID-Canyon,8032.35
2014,ID-Elmore,7263.6
2014,ID-Kootenai,7590.59
2014,ID-Twin Falls,8529.71
2014,IL,10485.539999999999
2014,IL-Coles,9594.44
2014,IL-Cook,11690.11
2014,IL-DeKalb,9002.96
2014,IL-DuPage,9597.36
2014,IL-Franklin,9345.12
2014,IL-Grundy,10004.21
2014,IL-Henry,8158.24
2014,IL-Jackson,8939.61
2014,IL-Jefferson,9220.1
2014,IL-Kane,10064.86
2014,IL-Kankakee,10350.23
2014,IL-Kendall,9389.48
2014,IL-Knox,8486.33
2014,IL-LaSalle,9036.23
2014,IL-Lake,9821.22
2014,IL-Macon,8710.29
2014,IL-Madison,9094.18
2014,IL-Marion,10034.55
2014,IL-McHenry,9581.75
2014,IL-McLean,7579.47
2014,IL-Ogle,9317.09
2014,IL-Peoria,8258.92
2014,IL-Rock Island,8790.96
2014,IL-Saline,8741.48
2014,IL-Sangamon,8626.26
2014,IL-St. Clair,9610.13
2014,IL-Tazewell,8258.78
2014,IL-Whiteside,9125.85
2014,IL-Will,10516.36
2014,IL-Williamson,8754.9
2014,IL-Winnebago,9007.59
2014,IN,9686.083333333334
2014,IN-Allen,8908.91
2014,IN-Bartholomew,8653.83
2014,IN-Boone,9457.69
2014,IN-Cass,9255.93
2014,IN-Clark,10539.61
2014,IN-Daviess,9672.7
2014,IN-Dearborn,8651.38
2014,IN-Delaware,9365.54
2014,IN-Elkhart,8721.94
2014,IN-Fayette,8727.05
2014,IN-Floyd,9621.42
2014,IN-Gibson,9686.65
2014,IN-Grant,9078.61
2014,IN-Hamilton,8898.06
2014,IN-Hancock,8459.3
2014,IN-Hendricks,9126.45
2014,IN-Henry,9261.58
2014,IN-Howard,9256.75
2014,IN-Johnson,8669.61
2014,IN-Knox,10044.18
2014,IN-Kosciusko,8050.85
2014,IN-LaPorte,9079.1
2014,IN-Lake,11609.29
2014,IN-Lawrence,8535.71
