YEAR,State,Average Medicare Payment Per Capita 
2014,AL,8633.223333
2014,AR,8206.013333
2014,AZ,9392.6
2014,CA,11288.95333
2014,CO,8587.636667
2014,CT,11610
2014,DC,12570.93667
2014,DE,10611.61333
2014,FL,11386.36333
2014,GA,9594.796667
2014,HI,6799.93
2014,IA,8240.146667
2014,ID,8013.176667
2014,IL,10485.54
2014,IN,9686.083333
2014,KS,9067.156667
2014,KY,8821.706667
2014,LA,10689.57
2014,MA,10894.65333
2014,MD,12299.83667
2014,ME,8194.19
2014,MI,10342.75333
2014,MN,8946.226667
2014,MO,9357.486667
2014,MS,9733.493333
2014,MT,7172.27
2014,NC,9098.716667
2014,ND,8041.82
2014,NE,8570.99
2014,NH,8678.406667
2014,NJ,11818.64
2014,NM,7951.683333
2014,NV,10635.07
2014,NY,11226.01667
2014,OH,10062.64333
2014,OK,9450.106667
2014,OR,7895.24
2014,PA,10121.29667
2014,RI,9951.15
2014,SC,9079.886667
2014,TN,9128.573333
2014,TX,11499.21667
2014,UT,8260.61
2014,VA,8983.426667
2014,WA,8360.656667
2014,WI,8499.8
2014,WV,8344.146667
2015,AL,8909.68
2015,AR,8431.04
2015,AZ,9623.983333
2015,CA,11657.57667
2015,CO,8811.946667
2015,CT,11792.06
2015,DC,10612.35
2015,DE,10700.52
2015,FL,11462.12333
2015,GA,9788.726667
2015,IA,8586.116667
2015,ID,7862.2
2015,IL,10606.85
2015,IN,9890.55
2015,KS,9292.06
2015,KY,9042.893333
2015,LA,10858.95
2015,MA,11199.92667
2015,MD,12540.41667
2015,ME,8660.99
2015,MI,10475.52333
2015,MN,9298.18
2015,MO,9539.62
2015,MS,9975.276667
2015,MT,7515.32
2015,NC,9367.506667
2015,ND,8192.7
2015,NE,9378.643333
2015,NH,8875.733333
2015,NJ,12009.84
2015,NM,8022.26
2015,NV,10890.34667
2015,NY,11445.16667
2015,OH,9833.126667
2015,OK,9831.423333
2015,OR,8273.28
2015,PA,10375.29
2015,RI,10328.37333
2015,SC,9151.863333
2015,SD,8146.6
2015,TN,9296.32
2015,TX,11618.65667
2015,UT,8457.46
2015,VA,9190.34
2015,VT,8393.8
2015,WA,8541.06
2015,WI,8739.286667
2015,WV,8625.256667
2016,AK,8704.97
2016,AL,9033.543333
2016,AR,8610.236667
2016,AZ,8964.79
2016,CA,12081.97
2016,CO,8982.506667
2016,CT,12001.43
2016,DC,10799.39
2016,DE,9916.36
2016,FL,11494.51667
2016,GA,9878.493333
2016,HI,7125.43
2016,IA,8605.073333
2016,ID,7925.91
2016,IL,10870.04
2016,IN,9906.866667
2016,KS,8965.15
2016,KY,9091.193333
2016,LA,10995.32
2016,MA,11368.51667
2016,MD,12521.29333
2016,ME,8770.44
2016,MI,10546.76
2016,MN,9465.34
2016,MO,9638.91
2016,MS,10071.91
2016,MT,7681.65
2016,NC,9440.976667
2016,ND,8396.05
2016,NE,8987.65
2016,NH,8943.71
2016,NJ,12309.8
2016,NM,7817.6
2016,NV,11064.21667
2016,NY,11825.42333
2016,OH,9987.903333
2016,OK,9945.32
2016,OR,8467.15
2016,PA,10435.11333
2016,RI,10145.44333
2016,SC,9143.673333
2016,SD,8185.68
2016,TN,9379.673333
2016,TX,11833.55333
2016,UT,8487.84
2016,VA,9391.24
2016,VT,8493.48
2016,WA,8705.003333
2016,WI,8802.06
2016,WV,8939.91
2016,WY,8322.1
2017,AK,9006.01
2017,AL,9411.093333
2017,AR,8928.453333
2017,AZ,10170.01333
2017,CA,12528.7
2017,CO,9371.12
2017,CT,12307.17333
2017,DC,11000.06
2017,DE,10097.74
2017,FL,11699.72333
2017,GA,10218.61
2017,IA,8937.58
2017,ID,8085.06
2017,IL,11153.23667
2017,IN,10137.03333
2017,KS,9313.44
2017,KY,9496.033333
2017,LA,11200.98333
2017,MA,11529.45333
2017,MD,12984.91667
2017,ME,9028.91
2017,MI,10663.41
2017,MN,9801.05
2017,MO,9951.79
2017,MS,10354.39667
2017,MT,7972.81
2017,NC,9695.74
2017,ND,8816.1
2017,NE,9758.816667
2017,NH,9264.88
2017,NJ,12601.35333
2017,NM,8007.38
2017,NV,11505.21667
2017,NY,12227.53333
2017,OH,10276.65667
2017,OK,10435.21667
2017,OR,8725.796667
2017,PA,10688.19667
2017,SC,9502.95
2017,SD,8430.13
2017,TN,9703.483333
2017,TX,11956.82333
2017,UT,8792.06
2017,VA,9611.586667
2017,VT,8664.69
2017,WA,8933.02
2017,WI,9009.723333
2017,WV,9318.84
2017,WY,10195.39
2018,AK,9434.5
2018,AL,9803.333333
2018,AR,9369.643333
2018,AZ,10328.59333
2018,CA,12989.5
2018,CO,8939.13
2018,CT,12956.92667
2018,DC,11241.48
2018,DE,10388.38
2018,FL,12175.63
2018,GA,10817.77667
2018,IA,9261.363333
2018,ID,8347.91
2018,IL,11640.15
2018,IN,10544.59333
2018,KS,9723.93
2018,KY,9723.546667
2018,LA,11723.03333
2018,MA,12031.88667
2018,MD,13327.39333
2018,ME,9194.26
2018,MI,10861.87667
2018,MN,10287.70667
2018,MO,10403.84667
2018,MS,10887.72667
2018,MT,8256.48
2018,NC,10064.04667
2018,ND,8918.94
2018,NE,9672.7
2018,NH,9718.17
2018,NJ,13027.94667
2018,NM,8159.83
2018,NV,12067.74333
2018,NY,12709.96667
2018,OH,10526.77333
2018,OK,10938.77
2018,OR,9077.746667
2018,PA,11057.88
2018,RI,10422.84
2018,SC,9891.656667
2018,SD,9679.486667
2018,TN,9406.61
2018,TX,12555.20333
2018,UT,9148.75
2018,VA,9940.053333
2018,WA,9205.653333
2018,WI,9399.64
2018,WV,9728.82
2018,WY,9006.98
2019,AK,11042.69333
2019,AL,10366.15333
2019,AR,9850.006667
2019,AZ,10656.75
2019,CA,13690.37
2019,CO,9282.03
2019,CT,13589.03667
2019,DC,11498.31
2019,DE,10806.29
2019,FL,12725.79667
2019,GA,11493.79
2019,HI,14866.26
2019,IA,9142.14
2019,ID,8644.47
2019,IL,12009.14
2019,IN,11092.71
2019,KS,10091.74
2019,KY,10091.07
2019,LA,12200.04667
2019,MA,12484.95667
2019,MD,13628.85333
2019,ME,9696.5
2019,MI,11178.74667
2019,MN,10941.15667
2019,MO,10888.55333
2019,MS,11474.07667
2019,MT,8531.49
2019,NC,10567.11
2019,ND,9655.866667
2019,NE,10104.96
2019,NH,10025.46
2019,NJ,13458.28
2019,NM,8504.25
2019,NV,12597.23667
2019,NY,13364.07333
2019,OH,10774.43
2019,OK,11630.45
2019,OR,8786.31
2019,PA,11396.04333
2019,RI,10644.01
2019,SC,10385.16333
2019,SD,9095.8
2019,TN,10438.28333
2019,TX,13234.72333
2019,UT,9591.06
2019,VA,10294.69333
2019,WA,9470.1
2019,WI,9667.956667
2019,WV,10157.76
2019,WY,9263.23
2020,AK,9003.07
2020,AL,10234.1
2020,AR,9664
2020,AZ,9318.26
2020,CA,13597.16667
2020,CO,8860.81
2020,CT,13214.80333
2020,DC,13514.73
2020,DE,11451.28
2020,FL,12530.40333
2020,GA,11492.05333
2020,IA,8931.26
2020,ID,8826.5
2020,IL,11597.03667
2020,IN,10861.74333
2020,KS,9888.54
2020,KY,9843.72
2020,LA,11283.54
2020,MA,11727.43667
2020,MD,13374.68333
2020,ME,8917.25
2020,MI,10612.52333
2020,MN,9752.74
2020,MO,10909.79333
2020,MS,10614.64
2020,MT,8635.503333
2020,NC,10406.90333
2020,ND,9123.5
2020,NE,9963.19
2020,NH,9157.5
2020,NJ,12906.22
2020,NM,8907.57
2020,NV,12483.7
2020,NY,12989.03
2020,OH,10345.3
2020,OK,11537.56667
2020,OR,8249.41
2020,PA,10898.08667
2020,RI,10003.71
2020,SC,10439.63333
2020,SD,9954.463333
2020,TN,9599.18
2020,TX,13236.79
2020,UT,9277.32
2020,VA,9963.503333
2020,WA,9011.58
2020,WI,8856.99
2020,WV,9455.75
2020,WY,9722.84
2021,AK,10280.37
2021,AL,10903.04667
2021,AR,10244.59
2021,AZ,10341.94
2021,CA,14702.53667
2021,CO,9922.11
2021,CT,14057.09
2021,DC,12276.86
2021,DE,11545.98
2021,FL,13124.76667
2021,GA,10790.73
2021,IA,9923.75
2021,ID,9523.966667
2021,IL,12685.57
2021,IN,11497.74333
2021,KS,10807.25
2021,KY,10601.42
2021,LA,11745.41
2021,MA,12919.08333
2021,MD,14518.66333
2021,ME,9839.78
2021,MI,11541.26667
2021,MN,10931.83
2021,MO,11382.57667
2021,MS,11284.65
2021,MT,9423.22
2021,NC,10876.29667
2021,ND,9999.04
2021,NE,10931.35
2021,NH,10231.46
2021,NJ,14286.71667
2021,NM,8822.91
2021,NV,13241.78667
2021,NY,14505.49667
2021,OH,10993.00333
2021,OK,11621.34
2021,OR,8963.91
2021,PA,11794.33667
2021,SC,10895.98333
2021,SD,11107.36333
2021,TN,10152.22
2021,TX,13591.75
2021,UT,10349
2021,VA,10585.89
2021,WA,9408.87
2021,WI,9794.85
2021,WV,10363.57
2021,WY,10040.65
2022,AK,10366.24
2022,AL,11445.95
2022,AR,10775.06
2022,AZ,10723.78
2022,CA,15522.40333
2022,CO,10234.53
2022,CT,14178.59
2022,DC,14940.25667
2022,DE,11814.61
2022,FL,13366.06667
2022,GA,11778.82333
2022,IA,10128.59
2022,ID,9577.56
2022,IL,13029.90333
2022,IN,11593.96667
2022,KS,11041.65
2022,KY,11049.79
2022,LA,12289.53
2022,MA,13148.5
2022,MD,14941.35
2022,ME,10067.05
2022,MI,11468.43667
2022,MN,11120.32
2022,MO,11575.33333
2022,MS,11778.08
2022,MT,8912.51
2022,NC,10785.88667
2022,ND,10644.56667
2022,NE,11150.02
2022,NH,10521.78
2022,NJ,14644.17333
2022,NM,9301.29
2022,NV,12125.96
2022,NY,15024.07667
2022,OH,10993.67
2022,OK,12459.1
2022,OR,9421.88
2022,PA,12014.46667
2022,RI,11548.28
2022,SC,11039.61667
2022,SD,10213.04
2022,TN,10536.03
2022,TX,13721.52333
2022,UT,10747.01
2022,VA,10766.23333
2022,WA,9818.47
2022,WI,10064.17
2022,WV,10722.9
2022,WY,9866.37
2023,AK,12697.90333
2023,AL,11617.19
2023,AR,11594.52
2023,AZ,12281.15
2023,CA,16527.65
2023,CO,11082.61
2023,CT,14757.22
2023,DC,13322.16
2023,DE,12658.78
2023,FL,14129.54667
2023,GA,12272.34667
2023,IA,10684.1
2023,ID,10186.47
2023,IL,13777.17667
2023,IN,12056.00333
2023,KS,12155.91
2023,KY,11758.25
2023,LA,13010.79
2023,MA,13779.08667
2023,MD,15374.23667
2023,MI,12049.08333
2023,MN,11738.58
2023,MO,11741.05
2023,MS,12581.42
2023,MT,9528.39
2023,NC,11158.55333
2023,ND,11276.26
2023,NE,11830.56
2023,NH,11100.35
2023,NJ,15280.17
2023,NM,10008.44
2023,NV,13228.64
2023,NY,15486.45333
2023,OH,11367.78333
2023,OK,13020.12
2023,OR,10100.26
2023,PA,12693.40333
2023,SC,11618.98667
2023,SD,10909.44
2023,TN,11328.55
2023,TX,14219.94667
2023,UT,11725.63
2023,VA,11109.87
2023,WA,10460.36
2023,WI,10906.95667
2023,WV,11366.18
2023,WY,10637.91
